token,gold_pos,gold_genero,gold_numero,spacy_pos,spacy_genero,spacy_numero,stanza_pos,stanza_genero,stanza_numero
",",PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
el,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
recto,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
(,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
extremo,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
del,ADP,Masc,Sing,ADP,Masc,Sing,ADP,-,-
intestino,NOUN,Masc,Sing,ADJ,Masc,Sing,NOUN,Masc,Sing
grueso,ADJ,Masc,Sing,NOUN,Masc,Sing,ADJ,Masc,Sing
),PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
y,CCONJ,-,-,CCONJ,-,-,CCONJ,-,-
las,DET,Fem,Plur,DET,Fem,Plur,DET,Fem,Plur
articulaciones,NOUN,Fem,Plur,NOUN,Fem,Plur,NOUN,Fem,Plur
.,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
Si,SCONJ,-,-,SCONJ,-,-,SCONJ,-,-
esta,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
infección,NOUN,Fem,Sing,NOUN,Fem,Sing,NOUN,Fem,Sing
no,ADV,-,-,ADV,-,-,ADV,-,-
se,PRON,-,-,PRON,-,-,PRON,-,-
trata,VERB,-,Sing,VERB,-,Sing,VERB,-,Sing
",",PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
puede,AUX,-,Sing,AUX,-,Sing,AUX,-,Sing
causar,VERB,-,-,VERB,-,-,VERB,-,-
graves,ADJ,-,Plur,ADJ,-,Plur,ADJ,-,Plur
daños,NOUN,Masc,Plur,NOUN,Masc,Plur,NOUN,Masc,Plur
al,ADP,Masc,Sing,ADP,Masc,Sing,ADP,-,-
organismo,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
.,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
Con,ADP,-,-,ADP,-,-,ADP,-,-
el,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
tiempo,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
",",PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
las,DET,Fem,Plur,DET,Fem,Plur,DET,Fem,Plur
bacterias,NOUN,Fem,Plur,NOUN,Fem,Plur,NOUN,Fem,Plur
pueden,AUX,-,Plur,AUX,-,Plur,AUX,-,Plur
volverse,VERB,-,-,VERB,-,-,VERB,-,-
resistentes,ADJ,-,Plur,ADJ,-,Plur,ADJ,-,Plur
a,ADP,-,-,ADP,-,-,ADP,-,-
los,DET,Masc,Plur,DET,Masc,Plur,DET,Masc,Plur
antibióticos,NOUN,Masc,Plur,NOUN,Masc,Plur,NOUN,Masc,Plur
",",PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
los,DET,Masc,Plur,DET,Masc,Plur,DET,Masc,Plur
medicamentos,NOUN,Masc,Plur,NOUN,Masc,Plur,NOUN,Masc,Plur
que,PRON,-,-,PRON,-,-,PRON,-,-
las,PRON,Fem,Plur,PRON,Fem,Plur,PRON,Fem,Plur
eliminan,VERB,-,Plur,VERB,-,Plur,VERB,-,Plur
.,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
La,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
ceftriaxona,NOUN,Fem,Sing,NOUN,Fem,Sing,NOUN,Fem,Sing
y,CCONJ,-,-,CCONJ,-,-,CCONJ,-,-
la,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
azitromicina,NOUN,Fem,Sing,NOUN,Fem,Sing,NOUN,Fem,Sing
son,VERB,-,Plur,AUX,-,Plur,AUX,-,Plur
los,DET,Masc,Plur,DET,Masc,Plur,DET,Masc,Plur
tratamientos,NOUN,Masc,Plur,NOUN,Masc,Plur,NOUN,Masc,Plur
antibióticos,ADJ,Masc,Plur,ADJ,Masc,Plur,ADJ,Masc,Plur
recomendados,ADJ,Masc,Plur,ADJ,Masc,Plur,ADJ,Masc,Plur
actualmente,ADV,-,-,ADV,-,-,ADV,-,-
(,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
una,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
combinación,NOUN,Fem,Sing,NOUN,Fem,Sing,NOUN,Fem,Sing
estándar,ADJ,-,Sing,ADJ,-,Sing,ADJ,-,Sing
),PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
para,ADP,-,-,ADP,-,-,ADP,-,-
la,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
gonorrea,NOUN,Fem,Sing,NOUN,Fem,Sing,NOUN,Fem,Sing
.,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
En,ADP,-,-,ADP,-,-,ADP,-,-
este,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
estudio,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
",",PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
los,DET,Masc,Plur,DET,Masc,Plur,DET,Masc,Plur
investigadores,NOUN,Masc,Plur,NOUN,Masc,Plur,NOUN,Masc,Plur
querían,VERB,-,Plur,VERB,-,Plur,VERB,-,Plur
saber,VERB,-,-,VERB,-,-,VERB,-,-
más,ADV,-,-,ADV,-,-,ADV,-,-
sobre,ADP,-,-,ADP,-,-,ADP,-,-
un,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
nuevo,ADJ,Masc,Sing,ADJ,Masc,Sing,ADJ,Masc,Sing
antibiótico,NOUN,Masc,Sing,ADJ,Masc,Sing,NOUN,Masc,Sing
llamado,ADJ,Masc,Sing,ADJ,Masc,Sing,ADJ,Masc,Sing
gepotidacina,NOUN,Fem,Sing,ADJ,Fem,Sing,NOUN,Fem,Sing
.,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
Los,DET,Masc,Plur,DET,Masc,Plur,DET,Masc,Plur
investigadores,NOUN,Masc,Plur,NOUN,Masc,Plur,NOUN,Masc,Plur
querían,AUX,-,Plur,VERB,-,Plur,VERB,-,Plur
averiguar,VERB,-,-,VERB,-,-,VERB,-,-
la,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
eficacia,NOUN,Fem,Sing,NOUN,Fem,Sing,NOUN,Fem,Sing
y,CCONJ,-,-,CCONJ,-,-,CCONJ,-,-
seguridad,NOUN,Fem,Sing,NOUN,Fem,Sing,NOUN,Fem,Sing
de,ADP,-,-,ADP,-,-,ADP,-,-
la,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
gepotidacina,NOUN,Fem,Sing,NOUN,Fem,Sing,NOUN,Fem,Sing
en,ADP,-,-,ADP,-,-,ADP,-,-
el,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
tratamiento,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
de,ADP,-,-,ADP,-,-,ADP,-,-
la,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
gonorrea,NOUN,Fem,Sing,NOUN,Fem,Sing,NOUN,Fem,Sing
en,ADP,-,-,ADP,-,-,ADP,-,-
participantes,NOUN,-,Plur,NOUN,-,Plur,NOUN,-,Plur
adolescentes,NOUN,-,Plur,NOUN,-,Plur,ADJ,-,Plur
y,CCONJ,-,-,CCONJ,-,-,CCONJ,-,-
adultos,NOUN,Masc,Plur,NOUN,Masc,Plur,NOUN,Masc,Plur
.,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
¿,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
Cuándo,PRON,-,-,PRON,-,-,ADV,-,-
y,CCONJ,-,-,CCONJ,-,-,CCONJ,-,-
dónde,PRON,-,-,PRON,-,-,ADV,-,-
se,PRON,-,-,PRON,-,-,PRON,-,-
realizó,VERB,-,Sing,VERB,-,Sing,VERB,-,Sing
el,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
estudio,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
?,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
Ha,AUX,-,Sing,AUX,-,Sing,AUX,-,Sing
habido,VERB,-,-,AUX,Masc,Sing,VERB,Masc,Sing
un,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
total,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
de,ADP,-,-,ADP,-,-,ADP,-,-
628,NUM,-,-,NUM,-,-,NUM,-,-
participantes,NOUN,-,Plur,NOUN,-,Plur,NOUN,-,Plur
de,ADP,-,-,ADP,-,-,ADP,-,-
6,NUM,-,-,NUM,-,-,NUM,-,-
países,NOUN,Masc,Plur,NOUN,Masc,Plur,NOUN,Masc,Plur
que,PRON,-,-,PRON,-,-,PRON,-,-
formaron,VERB,-,Plur,VERB,-,Plur,VERB,-,Plur
parte,NOUN,Fem,Sing,NOUN,-,Sing,NOUN,Fem,Sing
del,ADP,Masc,Sing,ADP,Masc,Sing,ADP,-,-
estudio,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
.,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
¿,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
Quién,PRON,-,Sing,PRON,-,Sing,PRON,-,Sing
participó,VERB,-,Sing,VERB,-,Sing,VERB,-,Sing
en,ADP,-,-,ADP,-,-,ADP,-,-
el,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
estudio,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
?,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
Los,DET,Masc,Plur,DET,Masc,Plur,DET,Masc,Plur
estudios,NOUN,Masc,Plur,NOUN,Masc,Plur,NOUN,Masc,Plur
tienen,VERB,-,Plur,VERB,-,Plur,VERB,-,Plur
una,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
lista,NOUN,Fem,Sing,NOUN,Fem,Sing,NOUN,Fem,Sing
de,ADP,-,-,ADP,-,-,ADP,-,-
requisitos,NOUN,Masc,Plur,NOUN,Masc,Plur,NOUN,Masc,Plur
que,PRON,-,-,PRON,-,-,PRON,-,-
definen,VERB,-,Plur,VERB,-,Plur,VERB,-,Plur
a,ADP,-,-,ADP,-,-,ADP,-,-
los,DET,Masc,Plur,DET,Masc,Plur,DET,Masc,Plur
participantes,NOUN,-,Plur,NOUN,-,Plur,NOUN,-,Plur
que,PRON,-,-,PRON,-,-,PRON,-,-
pueden,AUX,-,Plur,AUX,-,Plur,AUX,-,Plur
participar,VERB,-,-,VERB,-,-,VERB,-,-
y,CCONJ,-,-,CCONJ,-,-,CCONJ,-,-
a,ADP,-,-,ADP,-,-,ADP,-,-
los,DET,Masc,Plur,DET,Masc,Plur,DET,Masc,Plur
que,PRON,-,-,PRON,-,-,PRON,-,-
no,ADV,-,-,ADV,-,-,ADV,-,-
.,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
Se,PRON,-,-,PRON,-,-,PRON,-,-
incluyó,VERB,-,Sing,VERB,-,Sing,VERB,-,Sing
en,ADP,-,-,ADP,-,-,ADP,-,-
el,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
estudio,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
a,ADP,-,-,ADP,-,-,ADP,-,-
los,DET,Masc,Plur,DET,Masc,Plur,DET,Masc,Plur
participantes,NOUN,-,Plur,NOUN,-,Plur,NOUN,-,Plur
que,PRON,-,-,PRON,-,-,PRON,-,-
cumplían,VERB,-,Plur,VERB,-,Plur,VERB,-,Plur
las,DET,Fem,Plur,DET,Fem,Plur,DET,Fem,Plur
siguientes,ADJ,-,Plur,ADJ,-,Plur,ADJ,-,Plur
condiciones,NOUN,Fem,Plur,NOUN,Fem,Plur,NOUN,Fem,Plur
:,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
•,PUNCT,-,-,PROPN,-,-,PUNCT,-,-
Tenían,VERB,-,Plur,PROPN,-,-,VERB,-,Plur
al,ADP,Masc,Sing,ADP,Masc,Sing,ADP,-,-
menos,ADV,-,-,ADV,-,-,ADV,-,-
12,NUM,-,-,NUM,-,-,NUM,-,-
años,NOUN,Masc,Plur,NOUN,Masc,Plur,NOUN,Masc,Plur
y,CCONJ,-,-,CCONJ,-,-,CCONJ,-,-
un,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
peso,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
corporal,ADJ,-,Sing,ADJ,-,Sing,ADJ,-,Sing
mínimo,ADJ,Masc,Sing,ADJ,Masc,Sing,ADJ,Masc,Sing
de,ADP,-,-,ADP,-,-,ADP,-,-
45,NUM,-,-,NUM,-,-,NUM,-,-
kilogramos,NOUN,Masc,Plur,NOUN,Masc,Plur,NOUN,Masc,Plur
(,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
kg,NOUN,Masc,Sing,NOUN,Masc,Plur,NOUN,-,-
),PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
.,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
•,PUNCT,-,-,PROPN,-,-,PUNCT,-,-
Presentaban,VERB,-,Plur,VERB,-,Plur,VERB,-,Plur
signos,NOUN,Masc,Plur,NOUN,Masc,Plur,NOUN,Masc,Plur
de,ADP,-,-,ADP,-,-,ADP,-,-
infección,NOUN,Fem,Sing,NOUN,Fem,Sing,NOUN,Fem,Sing
por,ADP,-,-,ADP,-,-,ADP,-,-
gonorrea,NOUN,Fem,Sing,NOUN,Fem,Sing,NOUN,Fem,Sing
o,CCONJ,-,-,CCONJ,-,-,CCONJ,-,-
habían,AUX,-,Plur,AUX,-,Plur,AUX,-,Plur
dado,VERB,-,-,VERB,Masc,Sing,VERB,Masc,Sing
positivo,ADJ,Masc,Sing,ADJ,Masc,Sing,ADJ,Masc,Sing
en,ADP,-,-,ADP,-,-,ADP,-,-
gonorrea,NOUN,Fem,Sing,NOUN,Fem,Sing,NOUN,Fem,Sing
en,ADP,-,-,ADP,-,-,ADP,-,-
pruebas,NOUN,Fem,Plur,NOUN,Fem,Plur,NOUN,Fem,Plur
de,ADP,-,-,ADP,-,-,ADP,-,-
laboratorio,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
.,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
•,PUNCT,-,-,PROPN,-,-,PUNCT,-,-
Estaban,VERB,-,Plur,AUX,-,Plur,AUX,-,Plur
dispuestos,ADJ,Masc,Plur,ADJ,Masc,Plur,ADJ,Masc,Plur
a,ADP,-,-,ADP,-,-,ADP,-,-
evitar,VERB,-,-,VERB,-,-,VERB,-,-
las,DET,Fem,Plur,DET,Fem,Plur,DET,Fem,Plur
relaciones,NOUN,Fem,Plur,NOUN,Fem,Plur,NOUN,Fem,Plur
sexuales,ADJ,-,Plur,ADJ,-,Plur,ADJ,-,Plur
o,CCONJ,-,-,CCONJ,-,-,CCONJ,-,-
a,ADP,-,-,ADP,-,-,ADP,-,-
utilizar,VERB,-,-,VERB,-,-,VERB,-,-
preservativos,NOUN,Masc,Plur,NOUN,Masc,Plur,NOUN,Masc,Plur
durante,ADP,-,-,ADP,-,-,ADP,-,-
el,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
periodo,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
de,ADP,-,-,ADP,-,-,ADP,-,-
tratamiento,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
.,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
No,ADV,-,-,ADV,-,-,ADV,-,-
se,PRON,-,-,PRON,-,-,PRON,-,-
incluyó,VERB,-,Sing,VERB,-,Sing,VERB,-,Sing
en,ADP,-,-,ADP,-,-,ADP,-,-
el,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
estudio,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
a,ADP,-,-,ADP,-,-,ADP,-,-
los,DET,Masc,Plur,DET,Masc,Plur,DET,Masc,Plur
participantes,NOUN,-,Plur,NOUN,-,Plur,NOUN,-,Plur
que,PRON,-,-,PRON,-,-,PRON,-,-
cumplían,VERB,-,Plur,VERB,-,Plur,VERB,-,Plur
las,DET,Fem,Plur,DET,Fem,Plur,DET,Fem,Plur
siguientes,ADJ,-,Plur,ADJ,-,Plur,ADJ,-,Plur
condiciones,NOUN,Fem,Plur,NOUN,Fem,Plur,NOUN,Fem,Plur
:,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
•,PUNCT,-,-,PROPN,-,-,PUNCT,-,-
Se,PRON,-,-,PRON,-,-,PRON,-,-
sospechaba,VERB,-,Sing,VERB,-,Sing,VERB,-,Sing
o,CCONJ,-,-,CCONJ,-,-,CCONJ,-,-
se,PRON,-,-,PRON,-,-,PRON,-,-
había,AUX,-,Sing,AUX,-,Sing,AUX,-,Sing
confirmado,VERB,-,-,VERB,Masc,Sing,VERB,Masc,Sing
que,SCONJ,-,-,SCONJ,-,-,SCONJ,-,-
tenían,VERB,-,Plur,VERB,-,Plur,VERB,-,Plur
una,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
infección,NOUN,Fem,Sing,NOUN,Fem,Sing,NOUN,Fem,Sing
causada,ADJ,Fem,Sing,ADJ,Fem,Sing,ADJ,Fem,Sing
por,ADP,-,-,ADP,-,-,ADP,-,-
la,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
bacteria,NOUN,Fem,Sing,NOUN,Fem,Sing,NOUN,Fem,Sing
Chlamydia,PROPN,-,-,PROPN,-,-,PROPN,-,-
trachomatis,PROPN,-,-,PROPN,-,-,PROPN,-,-
que,PRON,-,-,PRON,-,-,PRON,-,-
necesitaba,VERB,-,Sing,VERB,-,Sing,VERB,-,Sing
tratamiento,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
inmediato,ADJ,Masc,Sing,ADJ,Masc,Sing,ADJ,Masc,Sing
.,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
•,PUNCT,-,-,PROPN,-,-,PUNCT,-,-
Tenían,VERB,-,Plur,VERB,-,Plur,VERB,-,Plur
un,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
peso,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
corporal,ADJ,-,Sing,ADJ,-,Sing,ADJ,-,Sing
igual,ADJ,-,Sing,ADV,-,-,ADJ,-,Sing
o,CCONJ,-,-,CCONJ,-,-,CCONJ,-,-
inferior,ADJ,-,Sing,ADJ,-,Sing,ADJ,-,Sing
a,ADP,-,-,ADP,-,-,ADP,-,-
45,NUM,-,-,NUM,-,-,NUM,-,-
kg,NOUN,Masc,Sing,NOUN,Masc,Plur,NOUN,-,-
o,CCONJ,-,-,CCONJ,-,-,CCONJ,-,-
padecían,VERB,-,Plur,VERB,-,Plur,VERB,-,Plur
problemas,NOUN,Masc,Plur,NOUN,Masc,Plur,NOUN,Masc,Plur
de,ADP,-,-,ADP,-,-,ADP,-,-
salud,NOUN,Fem,Sing,NOUN,Fem,Sing,NOUN,Fem,Sing
como,SCONJ,-,-,SCONJ,-,-,SCONJ,-,-
niveles,NOUN,Masc,Plur,NOUN,Masc,Plur,NOUN,Masc,Plur
de,ADP,-,-,ADP,-,-,ADP,-,-
azúcar,NOUN,Masc,Sing,NOUN,-,Sing,NOUN,Masc,Sing
en,ADP,-,-,ADP,-,-,ADP,-,-
sangre,NOUN,Fem,Sing,NOUN,-,-,NOUN,Fem,Sing
no,ADV,-,-,ADV,-,-,ADV,-,-
controlados,ADJ,Masc,Plur,ADJ,Masc,Plur,ADJ,Masc,Plur
.,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
•,PUNCT,-,-,PROPN,-,-,PUNCT,-,-
Eran,AUX,-,Plur,AUX,-,Plur,AUX,-,Plur
alérgicos,ADJ,Masc,Plur,ADJ,Masc,Plur,ADJ,Masc,Plur
a,ADP,-,-,ADP,-,-,ADP,-,-
alguno,PRON,Masc,Sing,PRON,Masc,Sing,PRON,Masc,Sing
de,ADP,-,-,ADP,-,-,ADP,-,-
los,DET,Masc,Plur,DET,Masc,Plur,DET,Masc,Plur
medicamentos,NOUN,Masc,Plur,NOUN,Masc,Plur,NOUN,Masc,Plur
del,ADP,Masc,Sing,ADP,Masc,Sing,ADP,-,-
estudio,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
o,CCONJ,-,-,CCONJ,-,-,CCONJ,-,-
padecían,VERB,-,Plur,VERB,-,Plur,VERB,-,Plur
otras,DET,Fem,Plur,DET,Fem,Plur,DET,Fem,Plur
enfermedades,NOUN,Fem,Plur,NOUN,Fem,Plur,NOUN,Fem,Plur
graves,ADJ,-,Plur,ADJ,-,Plur,ADJ,-,Plur
relacionadas,ADJ,Fem,Plur,ADJ,Fem,Plur,ADJ,Fem,Plur
con,ADP,-,-,ADP,-,-,ADP,-,-
el,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
corazón,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
",",PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
el,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
cerebro,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
o,CCONJ,-,-,CCONJ,-,-,CCONJ,-,-
el,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
sistema,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
inmunitario,ADJ,Masc,Sing,ADJ,Masc,Sing,ADJ,Masc,Sing
.,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
¿,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
Qué,DET,-,-,DET,-,-,DET,-,-
medicamentos,NOUN,Masc,Plur,NOUN,Masc,Plur,NOUN,Masc,Plur
se,PRON,-,-,PRON,-,-,PRON,-,-
estudiaron,VERB,-,Plur,VERB,-,Plur,VERB,-,Plur
?,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
Gepotidacina,NOUN,Fem,Sing,PROPN,-,-,PROPN,-,-
-,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
Un,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
nuevo,ADJ,Masc,Sing,ADJ,Masc,Sing,ADJ,Masc,Sing
antibiótico,NOUN,Masc,Sing,ADJ,Masc,Sing,NOUN,Masc,Sing
que,PRON,-,-,PRON,-,-,PRON,-,-
elimina,VERB,-,Sing,VERB,-,Sing,VERB,-,Sing
la,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
infección,NOUN,Fem,Sing,NOUN,Fem,Sing,NOUN,Fem,Sing
gonocócica,ADJ,Fem,Sing,ADJ,Fem,Sing,ADJ,Fem,Sing
al,ADP,Masc,Sing,ADP,Masc,Sing,ADP,-,-
detener,VERB,-,-,VERB,-,-,VERB,-,-
la,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
multiplicación,NOUN,Fem,Sing,NOUN,Fem,Sing,NOUN,Fem,Sing
bacteriana,ADJ,Fem,Sing,ADJ,Fem,Sing,ADJ,Fem,Sing
.,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
-,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
Se,PRON,-,-,PRON,-,-,PRON,-,-
administra,VERB,-,Sing,VERB,-,Sing,VERB,-,Sing
en,ADP,-,-,ADP,-,-,ADP,-,-
forma,NOUN,Fem,Sing,NOUN,Fem,Sing,NOUN,Fem,Sing
de,ADP,-,-,ADP,-,-,ADP,-,-
comprimidos,NOUN,Masc,Plur,NOUN,Masc,Plur,NOUN,Masc,Plur
orales,ADJ,-,Plur,ADJ,-,Plur,ADJ,-,Plur
(,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
por,ADP,-,-,ADP,-,-,ADP,-,-
vía,NOUN,Fem,Sing,NOUN,Fem,Sing,NOUN,Fem,Sing
oral,ADJ,-,Sing,ADJ,-,Sing,ADJ,-,Sing
),PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
.,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
Ceftriaxona,NOUN,Fem,Sing,PROPN,-,-,PROPN,-,-
-,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
Un,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
antibiótico,NOUN,Masc,Sing,ADJ,Masc,Sing,NOUN,Masc,Sing
conocido,ADJ,Masc,Sing,ADJ,Masc,Sing,ADJ,Masc,Sing
utilizado,ADJ,Masc,Sing,ADJ,Masc,Sing,ADJ,Masc,Sing
en,ADP,-,-,ADP,-,-,ADP,-,-
el,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
tratamiento,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
de,ADP,-,-,ADP,-,-,ADP,-,-
la,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
gonorrea,NOUN,Fem,Sing,NOUN,Fem,Sing,NOUN,Fem,Sing
.,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
-,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
Se,PRON,-,-,PRON,-,-,PRON,-,-
administra,VERB,-,Sing,VERB,-,Sing,VERB,-,Sing
como,SCONJ,-,-,SCONJ,-,-,ADP,-,-
inyección,NOUN,Fem,Sing,NOUN,Fem,Sing,NOUN,Fem,Sing
intramuscular,ADJ,-,Sing,VERB,-,-,ADJ,Fem,Sing
(,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
se,PRON,-,-,PRON,-,-,PRON,-,-
inyecta,VERB,-,Sing,VERB,-,Sing,VERB,-,Sing
en,ADP,-,-,ADP,-,-,ADP,-,-
el,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
músculo,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
),PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
.,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
Azitromicina,NOUN,Fem,Sing,PROPN,-,-,PROPN,-,-
-,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
Un,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
antibiótico,NOUN,Masc,Sing,ADJ,Masc,Sing,NOUN,Masc,Sing
conocido,ADJ,Masc,Sing,ADJ,Masc,Sing,ADJ,Masc,Sing
utilizado,ADJ,Masc,Sing,ADJ,Masc,Sing,ADJ,Masc,Sing
en,ADP,-,-,ADP,-,-,ADP,-,-
el,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
tratamiento,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
de,ADP,-,-,ADP,-,-,ADP,-,-
la,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
gonorrea,NOUN,Fem,Sing,NOUN,Fem,Sing,NOUN,Fem,Sing
.,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
-,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
Se,PRON,-,-,PRON,-,-,PRON,-,-
administra,VERB,-,Sing,VERB,-,Sing,VERB,-,Sing
en,ADP,-,-,ADP,-,-,ADP,-,-
forma,NOUN,Fem,Sing,NOUN,Fem,Sing,NOUN,Fem,Sing
de,ADP,-,-,ADP,-,-,ADP,-,-
comprimidos,NOUN,Masc,Plur,NOUN,Masc,Plur,NOUN,Masc,Plur
orales,ADJ,-,Plur,ADJ,-,Plur,ADJ,-,Plur
